Energy [eV],Z,Element,Line,Intensity
15824.9,38,Sr,Kβ3,7
15835.7,38,Sr,Kβ1,14
16084.6,38,Sr,Kβ2,3
16202.2,90,Th,Lβ1,69
16428.3,92,U,Lβ2,26
16521.0,41,Nb,Kα2,52
16615.1,41,Nb,Kα1,100
16725.8,39,Y,Kβ3,8
16737.8,39,Y,Kβ1,15
17015.4,39,Y,Kβ2,3
17220.0,92,U,Lβ1,61
17374.3,42,Mo,Kα2,52
17479.3,42,Mo,Kα1,100
17654,40,Zr,Kβ3,8
17667.8,40,Zr,Kβ1,15
17970,40,Zr,Kβ2,3
18250.8,43,Tc,Kα2,53
18367.1,43,Tc,Kα1,100
18606.3,41,Nb,Kβ3,8
18622.5,41,Nb,Kβ1,15
18953,41,Nb,Kβ2,3
18982.5,90,Th,Lγ1,16
19150.4,44,Ru,Kα2,53
19279.2,44,Ru,Kα1,100
19590.3,42,Mo,Kβ3,8
19608.3,42,Mo,Kβ1,15
19965.2,42,Mo,Kβ2,3
20073.7,45,Rh,Kα2,53
20167.1,92,U,Lγ1,15
20216.1,45,Rh,Kα1,100
20599,43,Tc,Kβ3,8
20619,43,Tc,Kβ1,16
21005,43,Tc,Kβ2,4
21020.1,46,Pd,Kα2,53
21177.1,46,Pd,Kα1,100
21634.6,44,Ru,Kβ3,8
21656.8,44,Ru,Kβ1,16
21990.3,47,Ag,Kα2,53
22074,44,Ru,Kβ2,4
22162.9,47,Ag,Kα1,100
22698.9,45,Rh,Kβ3,8
22723.6,45,Rh,Kβ1,16
22984.1,48,Cd,Kα2,53
23172.8,45,Rh,Kβ2,4
23173.6,48,Cd,Kα1,100
23791.1,46,Pd,Kβ3,8
23818.7,46,Pd,Kβ1,16
24002.0,49,In,Kα2,53
24209.7,49,In,Kα1,100
24299.1,46,Pd,Kβ2,4
24911.5,47,Ag,Kβ3,9
24942.4,47,Ag,Kβ1,16
25044.0,50,Sn,Kα2,53
25271.3,50,Sn,Kα1,100
25456.4,47,Ag,Kβ2,4
26061.2,48,Cd,Kβ3,9
26095.5,48,Cd,Kβ1,17
26110.8,51,Sb,Kα2,54
26359.1,51,Sb,Kα1,100
26643.8,48,Cd,Kβ2,4
27201.7,52,Te,Kα2,54
27237.7,49,In,Kβ3,9
27275.9,49,In,Kβ1,17
27472.3,52,Te,Kα1,100
27860.8,49,In,Kβ2,5
28317.2,53,I,Kα2,54
28444.0,50,Sn,Kβ3,9
28486.0,50,Sn,Kβ1,17
28612.0,53,I,Kα1,100
29109.3,50,Sn,Kβ2,5
29458,54,Xe,Kα2,54
29679.2,51,Sb,Kβ3,9
29725.6,51,Sb,Kβ1,18
29779,54,Xe,Kα1,100
30389.5,51,Sb,Kβ2,5
30625.1,55,Cs,Kα2,54
30944.3,52,Te,Kβ3,9
30972.8,55,Cs,Kα1,100
30995.7,52,Te,Kβ1,18
31700.4,52,Te,Kβ2,5
31817.1,56,Ba,Kα2,54
32193.6,56,Ba,Kα1,100
32239.4,53,I,Kβ3,9
32294.7,53,I,Kβ1,18
33034.1,57,La,Kα2,54
33042,53,I,Kβ2,5
33441.8,57,La,Kα1,100
33562,54,Xe,Kβ3,9
33624,54,Xe,Kβ1,18
34278.9,58,Ce,Kα2,55
34415,54,Xe,Kβ2,5
34719.7,58,Ce,Kα1,100
34919.4,55,Cs,Kβ3,9
34986.9,55,Cs,Kβ1,18
35550.2,59,Pr,Kα2,55
35822,55,Cs,Kβ2,6
36026.3,59,Pr,Kα1,100
36304.0,56,Ba,Kβ3,10
36378.2,56,Ba,Kβ1,18
36847.4,60,Nd,Kα2,55
37257,56,Ba,Kβ2,6
37361.0,60,Nd,Kα1,100
37720.2,57,La,Kβ3,10
37801.0,57,La,Kβ1,19
38171.2,61,Pm,Kα2,55
38724.7,61,Pm,Kα1,100
38729.9,57,La,Kβ2,6
39170.1,58,Ce,Kβ3,10
39257.3,58,Ce,Kβ1,19
39522.4,62,Sm,Kα2,55
40118.1,62,Sm,Kα1,100
40233,58,Ce,Kβ2,6
40652.9,59,Pr,Kβ3,10
40748.2,59,Pr,Kβ1,19
40901.9,63,Eu,Kα2,56
41542.2,63,Eu,Kα1,100
41773,59,Pr,Kβ2,6
42166.5,60,Nd,Kβ3,10
42271.3,60,Nd,Kβ1,19
42308.9,64,Gd,Kα2,56
42996.2,64,Gd,Kα1,100
43335,60,Nd,Kβ2,6
43713,61,Pm,Kβ3,10
43744.1,65,Tb,Kα2,56
43826,61,Pm,Kβ1,19
44481.6,65,Tb,Kα1,100
44942,61,Pm,Kβ2,6
45207.8,66,Dy,Kα2,56
45289,62,Sm,Kβ3,10
45413,62,Sm,Kβ1,19
45998.4,66,Dy,Kα1,100
46578,62,Sm,Kβ2,6
46699.7,67,Ho,Kα2,56
46903.6,63,Eu,Kβ3,10
47037.9,63,Eu,Kβ1,19
47546.7,67,Ho,Kα1,100
48221.1,68,Er,Kα2,56
48256,63,Eu,Kβ2,6
48555,64,Gd,Kβ3,10
48697,64,Gd,Kβ1,20
49127.7,68,Er,Kα1,100
49772.6,69,Tm,Kα2,57
49959,64,Gd,Kβ2,7
50229,65,Tb,Kβ3,10
50382,65,Tb,Kβ1,20
50741.6,69,Tm,Kα1,100
51354.0,70,Yb,Kα2,57
51698,65,Tb,Kβ2,7
51957,66,Dy,Kβ3,10
52119,66,Dy,Kβ1,20
52388.9,70,Yb,Kα1,100
52965.0,71,Lu,Kα2,57
53476,66,Dy,Kβ2,7
53711,67,Ho,Kβ3,11
53877,67,Ho,Kβ1,20
54069.8,71,Lu,Kα1,100
54611.4,72,Hf,Kα2,57
55293,67,Ho,Kβ2,7
55494,68,Er,Kβ3,11
55681,68,Er,Kβ1,21
55790.2,72,Hf,Kα1,100
56277,73,Ta,Kα2,57
57210,68,Er,Kβ2,7
57304,69,Tm,Kβ3,11
57517,69,Tm,Kβ1,21
57532,73,Ta,Kα1,100
57981.7,74,W,Kα2,58
59090,69,Tm,Kβ2,7
59140,70,Yb,Kβ3,11
59318.2,74,W,Kα1,100
59370,70,Yb,Kβ1,21
59717.9,75,Re,Kα2,58
60980,70,Yb,Kβ2,7
61050,71,Lu,Kβ3,11
61140.3,75,Re,Kα1,100
61283,71,Lu,Kβ1,21
61486.7,76,Os,Kα2,58
62970,71,Lu,Kβ2,7
62980,72,Hf,Kβ3,11
63000.5,76,Os,Kα1,100
63234,72,Hf,Kβ1,22
63286.7,77,Ir,Kα2,58
64895.6,77,Ir,Kα1,100
64948.8,73,Ta,Kβ3,11
64980,72,Hf,Kβ2,7
65112,78,Pt,Kα2,58
65223,73,Ta,Kβ1,22
66832,78,Pt,Kα1,100
66951.4,74,W,Kβ3,11
66989.5,79,Au,Kα2,59
66990,73,Ta,Kβ2,7
67244.3,74,W,Kβ1,22
68803.7,79,Au,Kα1,100
68895,80,Hg,Kα2,59
68994,75,Re,Kβ3,12
69067,74,W,Kβ2,8
69310,75,Re,Kβ1,22
70819,80,Hg,Kα1,100
70831.9,81,Tl,Kα2,60
71077,76,Os,Kβ3,12
71232,75,Re,Kβ2,8
71413,76,Os,Kβ1,23
72804.2,82,Pb,Kα2,60
72871.5,81,Tl,Kα1,100
73202.7,77,Ir,Kβ3,12
73363,76,Os,Kβ2,8
73560.8,77,Ir,Kβ1,23
74814.8,83,Bi,Kα2,60
74969.4,82,Pb,Kα1,100
75368,78,Pt,Kβ3,12
75575,77,Ir,Kβ2,8
75748,78,Pt,Kβ1,23
77107.9,83,Bi,Kα1,100
77580,79,Au,Kβ3,12
77850,78,Pt,Kβ2,8
77984,79,Au,Kβ1,23
79822,80,Hg,Kβ3,12
80150,79,Au,Kβ2,8
80253,80,Hg,Kβ1,23
82118,81,Tl,Kβ3,12
82515,80,Hg,Kβ2,8
82576,81,Tl,Kβ1,23
84450,82,Pb,Kβ3,12
84910,81,Tl,Kβ2,8
84936,82,Pb,Kβ1,23
86834,83,Bi,Kβ3,12
87320,82,Pb,Kβ2,8
87343,83,Bi,Kβ1,23
89830,83,Bi,Kβ2,9
89953,90,Th,Kα2,62
93350,90,Th,Kα1,100
94665,92,U,Kα2,62
98439,92,U,Kα1,100
104831,90,Th,Kβ3,12
105609,90,Th,Kβ1,24
108640,90,Th,Kβ2,9
110406,92,U,Kβ3,13
111300,92,U,Kβ1,24
114530,92,U,Kβ2,9
